hidden_layers,activation_function,epochs,learning_rate,batch_size,train_accuracy,test_accuracy
[32],tanh,25,0.1,128,0.99125,0.945
[32],tanh,25,0.1,256,0.9775,0.955
[32],tanh,25,0.1,512,0.97125,0.955
[32],tanh,25,0.01,16,0.975,0.96
[32],tanh,25,0.01,32,0.97,0.95
[32],tanh,25,0.01,64,0.96625,0.965
[32],tanh,25,0.01,128,0.945,0.925
[32],tanh,25,0.01,256,0.89375,0.905
[32],tanh,25,0.01,512,0.88875,0.89
[32],tanh,25,0.001,16,0.88,0.89
[32],tanh,25,0.001,32,0.85125,0.835
[32],tanh,25,0.001,64,0.845,0.83
[32],tanh,25,0.001,128,0.8275,0.82
[32],tanh,25,0.001,256,0.81625,0.805
[32],tanh,25,0.001,512,0.81375,0.8
[32],tanh,25,0.0001,16,0.81,0.795
[32],tanh,25,0.0001,32,0.75875,0.785
[32],tanh,25,0.0001,64,0.77625,0.81
[32],tanh,25,0.0001,128,0.73125,0.735
[32],tanh,25,0.0001,256,0.67375,0.675
[32],tanh,25,0.0001,512,0.57375,0.64
[32],tanh,50,10.0,16,0.7875,0.74
[32],tanh,50,10.0,32,0.7575,0.8
[32],tanh,50,10.0,64,0.73125,0.755
[32],tanh,50,10.0,128,0.80625,0.8
[32],tanh,50,10.0,256,0.84625,0.85
[32],tanh,50,10.0,512,0.83125,0.8
[32],tanh,50,1.0,16,0.84375,0.835
[32],tanh,50,1.0,32,0.84875,0.875
[32],tanh,50,1.0,64,0.89375,0.9
[32],tanh,50,1.0,128,0.9075,0.875
[32],tanh,50,1.0,256,0.875,0.865
[32],tanh,50,1.0,512,0.975,0.885
[32],tanh,50,0.1,16,0.95875,0.9
[32],tanh,50,0.1,32,0.99875,0.945
[32],tanh,50,0.1,64,1.0,0.925
[32],tanh,50,0.1,128,0.995,0.945
[32],tanh,50,0.1,256,0.99125,0.94
[32],tanh,50,0.1,512,0.995,0.965
[32],tanh,50,0.01,16,0.9875,0.945
[32],tanh,50,0.01,32,0.98,0.935
[32],tanh,50,0.01,64,0.98125,0.96
[32],tanh,50,0.01,128,0.97375,0.94
[32],tanh,50,0.01,256,0.9525,0.945
[32],tanh,50,0.01,512,0.9375,0.935
[32],tanh,50,0.001,16,0.93125,0.935
[32],tanh,50,0.001,32,0.905,0.915
[32],tanh,50,0.001,64,0.8825,0.89
[32],tanh,50,0.001,128,0.8425,0.835
